ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus ,"Otter trawls (not specified), (Bottom)",,0,5,,,
Aesop shrimp (Pandalus montagui); Northern prawn (Pandalus borealis) ,"shrimp/prawn trawl, (Bottom)",1,10,1,,,
Herrings/sardines nei (Clupeidae) ,"Set gillnets/set nets (anchored), (Pelagic)",,768,,,,
Mackerels nei (Scombridae) ,"Set gillnets/set nets (anchored), (Pelagic)",,,,,,
"Smelts nei (Osmerus spp, Hypomesus spp) ","Gillnets and entangling nets (not specified), (Pelagic)",17,,,,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater)",19,,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis) ,"Midwater trawls (not specified), (Midwater), Semipelagic trawls, (Demersal), Trawls (not specified), (Bottom)",,8,,0,,
Greenland halibut (Reinhardtius hippoglossoides) ,"Longlines (not specified), (Bottom)",1,,100,0,,
Arctic char (Salvelinus alpinus) ,"Barriers, fences, weirs, etc., (Surface), Set gillnets/set nets (anchored), (Surface)",,10,,0,,
Arctic char (Salvelinus alpinus) ,"Set gillnets/set nets (anchored), (Surface)",,12,,0,,
Arctic char (Salvelinus alpinus) ,"Set gillnets/set nets (anchored), (Surface)",,0,150,0,,
Greenland halibut (Reinhardtius hippoglossoides) ,"Longlines (not specified), (Bottom)",1,0,75,0,,
Aesop shrimp (Pandalus montagui); Northern prawn (Pandalus borealis) ,"Trawls (not specified), (Midwater), shrimp/prawn trawl, (Midwater)",,21,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Saithe(=Pollock)(Pollachiusvirens);Sandeels(=Sandlances)nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",,22,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytesspp);Sculpins(Myoxocephalusspp);Silverhake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Set gillnets/set nets (anchored), (Bottom)",,123,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances)nei(Ammodytesspp);Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,7,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Set gillnets/set nets (anchored), (Bottom)",,7,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,321,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Otter trawls (not specified), (Bottom)",,18,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater)",,0,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater)",,18,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Offshore silver hake (Merluccius albidus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",,13,,0,,
"Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roughhead grenadier (Macrourus berglax); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); Various squids nei (Loliginidae, Ommastrephidae); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ","Otter trawls (not specified), (Bottom)",,3,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Sculpins (Myoxocephalus spp); Sculpins nei (Cottidae); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Otter trawls (not specified), (Bottom)",,,4,0,,
Atlantic mackerel (Scomber scombrus); Herrings/sardines nei (Clupeidae) ,"Gillnets and entangling nets (not specified), (Surface), Set gillnets/set nets (anchored), (Pelagic)",,1947,204,0,,
Herrings/sardines nei (Clupeidae); Mackerels nei (Scombridae) ,"Gillnets and entangling nets (not specified), (Surface)",,1700,200,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachiusvirens);Sandeels(=Sandlances)nei(Ammodytesspp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Spiny dogfish (Squalus acanthias); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Set gillnets/set nets (anchored), (Bottom)",,,0,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances)nei(Ammodytesspp);Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea); Yellowtail flounder (Limanda ferruginea) ,"Set gillnets/set nets (anchored), (Bottom)",,10,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Saithe(=Pollock) (Pollachiusvirens);Sandeels(=Sandlances)nei(Ammodytesspp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,321,,0,,
