ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalusspp);Silverhake(Merlucciusbilinearis);Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,7,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Set gillnets/set nets (anchored), (Bottom)",,7,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",25,,,0.2,,"Atlantic white­sided dolphin (Gulf of St. Lawrence, Scotian Shelf, Bay of Fundy, Newfoundland): .2 "
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); Winter flounder (Pseudopleuronectes americanus); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",,57,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Argentines nei (Argentinidae); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances)nei(Ammodytesspp);Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",,,0,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,12,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,628,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Monkfishes nei (Lophius spp); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Set gillnets/set nets (anchored), (Bottom)",,,310,40,,"20; Harbor seal, common seal (Western North Atlantic (stock delineation in CAN unknown)): 20; Harp seal (Western North Atlantic): "
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Monkfishes nei (Lophius spp); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater)",,,1,0,,
Witch flounder (Glyptocephalus cynoglossus) ,"Trawls (not specified), (Bottom)",,0,,0,,
Herrings/sardines nei (Clupeidae),"Gillnets and entangling nets (not specified), (Pelagic)",,1267,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Roughhead grenadier (Macrourus berglax); Saithe(=Pollock) (Pollachius virens); White hake (Urophycis tenuis); Witch flounder ,"Midwater trawls (not specified), (Midwater)",,,0,0,NAFO,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Trawls (not specified), (Bottom)",,18,,0,,
Isada krill (Euphausia pacifica); Thysanoessa longipes (Thysanoessa longipes); Thysanoessa raschii (Thysanoessa raschii); Thysanoessa spinifera (Thysanoessa spinifera) ,"Midwater trawls (not specified), (Bottom)",,17,,0,,
Aesop shrimp (Pandalus montagui); Northern prawn (Pandalus borealis) ,"Trawls (not specified), (Bottom)",,206,,0,,
Aesop shrimp (Pandalus montagui); Northern prawn (Pandalus borealis) ,"Otter trawls (not specified), (Benthic)",,19,,0,,
"Coonstripe shrimp (Pandalus hypsinotus); Dock shrimp (Pandalus
danae); Flexed shrimp (Heptacarpus geniculatus); Northern pink
shrimp (Penaeus duorarum); Northern prawn (Pandalus borealis); (Pandalopsis dispar); Smooth shrimp (Trachypenaeus brevisuturae); Spot shrimp (Pandalus platyceros); marine shrimps nei
Ocean shrimp (Pandalus jordani); Octopuses nei (Octopus spp);
Sidestripe shrimp (Pandalopsis dispar); Sidestripe shrimp","Beam trawls, (Bottom), Otter trawls (not specified), (Bottom)",,237,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Flatfishes nei (Pleuronectiformes); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoidesrupestris);Saithe(=Pollock)(Pollachiusvirens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",,20,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoidesrupestris);Saithe(=Pollock)(Pollachiusvirens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",,57,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoidesrupestris);Saithe(=Pollock)(Pollachiusvirens); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom)",,22,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Otter trawls (not specified), (Bottom)",,0,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Otter trawls (not specified), (Bottom)",,57,,0.8,,Seal unspecified (STOCK NOT SPECIFIED): .8 
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Otter trawls (not specified), (Bottom)",19,,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic mackerel (Scomber scombrus); Atlantic redfishes nei (Sebastes spp); Atlantic redfishes nei (Sebastes spp); Blue shark (Prionace glauca); Dogfishes nei (Squalus spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Northern cods nei (Gadus spp); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Silver hake (Merluccius bilinearis); Starry ray (Raja radiata); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Otter trawls (not specified), (Bottom)",,,10,17.6,NAFO,"Common minke whale (Atlantic Canada and Eastern Arctic): 0; Gray seal (Western North Atlantic): .8; Harbor porpoise (Newfoundland): 0; Harbor seal, common seal (Western North Atlantic (stock delineation in CAN unknown)): 0; Harp seal (Western North Atlantic): 12; Hooded seal (Western North Atlantic): 0; Humpback whale (Gulf of St. Lawrence, Scotian Shelf, Bay of Fundy, Newfoundland): .8; Long­finned pilot whale (Gulf of St. Lawrence, Scotian Shelf, Bay of Fundy, Newfoundland): .8; Ringed seal (Arctic & Labrador): 0; Seal unspecified (STOCK NOT SPECIFIED): .8; Whale unspecified (STOCK NOT
SPECIFIED): 2.4"
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Monkfishes nei (Lophius spp); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus) ,"Midwater trawls (not specified), (Midwater)",,,0,0,,
