ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnosegrenadier(Coryphaenoidesrupestris);Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",25,,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder ,"Longlines (not specified), (Bottom)",,,168,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Saithe(=Pollock) (Pollachius virens); Silver hake (Merluccius bilinearis); Starry ray (Raja radiata); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ,"Otter trawls (not specified), (Bottom)",,,8,0,,
Albacore (Thunnus alalunga); Bigeye tuna (Thunnus obesus); Skipjack tuna (Katsuwonus pelamis); Swordfish (Xiphias gladius); Tunas nei (Thunnini); Yellowfin tuna (Thunnus albacares) ,"Longlines (not specified), (Bottom), Trolling lines, (Bottom)",,78,,0,ICCAT,
"Smelts nei (Osmerus spp, Hypomesus spp) ","Gillnets and entangling nets (not specified), (Bottom), Seine nets (not specified), (Pelagic), Traps (not specified), (Bottom)",,,0,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",,5,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",,5,,0,,
Herrings/sardines nei (Clupeidae) ,"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",,,78,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachiusvirens);Sandeels(=Sandlances)nei(Ammodytesspp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",,309,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Set gillnets/set nets (anchored), (Bottom), Trawls (not specified), (Bottom), dip nets, (Bottom)",,25,,0,,
Arctic lyre crab (Hyas coarctatus); Atlantic lyre crab (Hyas araneus) Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder ,"Longlines (not specified), (Bottom)",,,68,0,NAFO,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Red hake (Urophycis chuss); Redfish (Centroberyx affinis); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Set gillnets/set nets (anchored), (Bottom)",,16,,0,,
"Atlantic tomcod (Microgadus tomcod); Smelts nei (Osmerus spp, Hypomesus spp)","Set gillnets/set nets (anchored), (Bottom)",,333,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic wolffish (Anarhichas lupus); Haddock (Melanogrammus aeglefinus); Saithe(=Pollock) (Pollachius virens); Silver hake (Merluccius bilinearis); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Midwater)",,,1,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis) ,"Longlines (not specified), (Bottom)",,10,,1,,"Harbor seal, common seal (Western North Atlantic (stock delineation in CAN unknown)): 1; "
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Spiny dogfish (Squalus acanthias); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,0,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances)nei(Ammodytesspp);Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,7,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Bottom)",,,608,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis) ,"Longlines (not specified), (Bottom)",,384,,0,,
Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus) ,"Set gillnets/set nets (anchored), (Pelagic)",,,40,0.2,,Common minke whale (Atlantic Canada and Eastern Arctic): .2 
Albacore (Thunnus alalunga); Atlantic bluefin tuna (Thunnus thynnus); Atlantic white marlin (Tetrapturus albidus); Bigeye tuna (Thunnus obesus); Blue marlin (Makaira nigricans); Blue shark (Prionace glauca); Common dolphinfish (Coryphaena hippurus); Opah (Lampris guttatus); Porbeagle (Lamna nasus); Shortfin mako (Isurus oxyrinchus); Skipjack tuna (Katsuwonus pelamis); Swordfish (Xiphias gladius); Wahoo (Acanthocybium solandri); Yellowfin tuna (Thunnus albacares) ,"Longlines (not specified), (Bottom)",,77,,0,ICCAT,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Blue shark (Prionace glauca); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Mako sharks (Isurus spp); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Porbeagle (Lamna nasus); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier (Macrourus berglax); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachiusvirens);Saithe(=Pollock)(Pollachiusvirens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Thresher sharks nei (Alopias spp); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Pelagic)",,291,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Atlantic redfishes nei (Sebastes spp); Atlantic searobins (Prionotus spp); Cunner (Tautogolabrus adspersus); Dogfish sharks nei (Squalidae); Greater argentine (Argentina silus); Greenland cod (Gadus ogac); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Hagfish (Myxine glutinosa); Ling (Molva molva); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Ocean pout (Macrozoarces americanus); Polar cod (Boreogadus saida); Raja rays nei (Raja spp); Red hake (Urophycis chuss); Roughhead grenadier(Macrourusberglax);Roundnosegrenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Sandeels(=Sandlances) nei (Ammodytes spp); Sculpins (Myoxocephalus spp); Silver hake (Merluccius bilinearis); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Wolffishes(=Catfishes) nei (Anarhichas spp); Yellowtail flounder (Limanda ferruginea) ,"Midwater trawls (not specified), (Midwater)",,57,,0,,
Groundfishes nei (Osteichthyes); North Pacific hake (Merluccius productus) ,"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",53,,,27.6,,"California sea lion (Pacific): 5.4; Harbor seal, common seal (Pacific coast stock delineation in CAN unknown): .4; Humpback whale (California/Oregon/Washington): .2; Pacific white­sided dolphin (California/Oregon/Washington): .2; Sea lion unspecified (Pacific): .6; Steller sea lion, northern sea lion (Pacific): 20.8"
Greenland halibut (Reinhardtius hippoglossoides) ,"Trawls (not specified), (Bottom)",6,,,1.8,,"Gray seal (Western North Atlantic): .6;  Harp seal (Western North Atlantic): .2; Hooded seal (Western North Atlantic): .6;   Narwhal (East Baffin): .2; Sperm whale, cachalot (Western North Atlantic): .2; "
Herrings/sardines nei (Clupeidae) ,"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",,,278,0,,
Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus) ,"Gillnets and entangling nets (not specified), (Pelagic)",,,4,0,,
Atlantic mackerel (Scomber scombrus); Herrings/sardines nei (Clupeidae) ,"Barriers, fences, weirs, etc., (Pelagic), Beach seines, (Pelagic), Other (Please Specify) shut­off / stop seine, (Pelagic), trap nets/stationary nets, (Pelagic)",,30,,,,
"Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic herring (Clupea harengus); Atlantic redfishes nei (Sebastes spp); Blue shark (Prionace glauca); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Haddock (Melanogrammus aeglefinus); Lumpfish (roe/caviar); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Neon flying squid (Ommastrephes bartrami); Saithe(=Pollock) (Pollachius virens); Sculpins nei (Cottidae); Starry ray (Raja radiata); White hake (Urophycis tenuis); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea)
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Haddock (Melanogrammus aeglefinus); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Saithe(=Pollock) (Pollachius virens); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus)","Gillnets and entangling nets (not specified), (Bottom)",,,1434,20,NAFO,Harp seal (Western North Atlantic): 20 
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder ,"Gillnets and entangling nets (not specified), (Bottom)",,,294,20,,Harp seal (Western North Atlantic): 20 
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Longlines (not specified), (Bottom)",,,575,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ,"Otter trawls (not specified), (Bottom)",8,,,0,,
Greenland halibut (Reinhardtius hippoglossoides) ,"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",15,,,1,,"Hooded seal (Western North Atlantic): .2; Long­finned pilot whale (Gulf of St. Lawrence, Scotian Shelf, Bay of Fundy, Newfoundland): .2;  Northern bottlenose whale (Davis Strait/Baffin Bay/Labrador Sea): .2;  Seal unspecified (STOCK NOT SPECIFIED): .2; Sperm whale, cachalot (Western North Atlantic): .2"
Aesop shrimp (Pandalus montagui); Northern prawn (Pandalus borealis) ,"Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",,,207,,NAFO,
Arctic char (Salvelinus alpinus) ,"Set gillnets/set nets (anchored), (Midwater)",,1,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis) ,"Set gillnets/set nets (anchored), (Bottom)",,57,,4.2,,"Atlantic white­sided dolphin (Gulf of St. Lawrence, Scotian Shelf, Bay of Fundy, Newfoundland): 4; Seal unspecified (STOCK NOT SPECIFIED): .2 "
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Greenland halibut (Reinhardtius hippoglossoides); White hake (Urophycis tenuis) ,"Set gillnets/set nets (anchored), (Bottom)",,59,,8,,Dolphin unspecified (STOCK NOT SPECIFIED): 4; Harbor porpoise (Gulf of St. Lawrence & Scotian Shelf): 4;
Herrings/sardines nei (Clupeidae) ,"Set gillnets/set nets (anchored), (Pelagic)",,216,,0,,
Mackerels nei (Scombridae) ,"Set gillnets/set nets (anchored), (Pelagic)",,,,0,,
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Greenland halibut (Reinhardtius hippoglossoides); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); White hake (Urophycis tenuis) ,"Set gillnets/set nets (anchored), (Bottom)",,0,,0,,
Atlantic mackerel (Scomber scombrus) ,"Gillnets and entangling nets (not specified), (Pelagic)",388,,,0,,
Chinook(=Spring=King) salmon (Oncorhynchus tshawytscha); Chum(=Keta=Dog) salmon (Oncorhynchus keta); Coho(=Silver) salmon (Oncorhynchus kisutch); Pacific salmons nei (Oncorhynchus spp); Pink(=Humpback) salmon (Oncorhynchus gorbuscha); Sockeye(=Red) salmon (Oncorhynchus nerka) ,"Gillnets and entangling nets (not specified), (Midwater)",,,,0.2,,Dolphin unspecified (STOCK NOT SPECIFIED): .2 