"GearType","Vessels","Licenses","Participants","VLPTotal","Country"
"Gillnets and entangling nets (not specified), (Surface), Set gillnets/set nets (anchored), (Pelagic)",0,1947,204,2151,"Canada"
"Longlines (not specified), (Bottom)",2,471,1594,2067,"Canada"
"Gillnets and entangling nets (not specified), (Surface)",0,1700,200,1900,"Canada"
"Gillnets and entangling nets (not specified), (Bottom)",0,0,1728,1728,"Canada"
"Gillnets and entangling nets (not specified), (Pelagic)",405,1267,4,1676,"Canada"
"Longlines (not specified), (Pelagic)",0,1594,0,1594,"Canada"
"Set gillnets/set nets (anchored), (Pelagic)",0,984,40,1024,"Canada"
"Set gillnets/set nets (anchored), (Bottom)",0,612,310,922,"Canada"
"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",0,0,356,356,"Canada"
"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",0,319,0,319,"Canada"
"Beam trawls, (Bottom), Otter trawls (not specified), (Bottom)",0,237,0,237,"Canada"
"Trawls (not specified), (Bottom)",6,224,0,230,"Canada"
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",50,169,0,219,"Canada"
"Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",0,0,207,207,"Canada"
"Set gillnets/set nets (anchored), (Surface)",0,12,150,162,"Canada"
"Otter trawls (not specified), (Bottom)",27,78,27,132,"Canada"
"Midwater trawls (not specified), (Midwater)",19,75,1,95,"Canada"
"Longlines (not specified), (Bottom), Trolling lines, (Bottom)",0,78,0,78,"Canada"
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",53,0,0,53,"Canada"
"Barriers, fences, weirs, etc., (Pelagic), Beach seines, (Pelagic), Other (Please Specify) shut足off / stop seine, (Pelagic), trap nets/stationary nets, (Pelagic)",0,30,0,30,"Canada"
"Set gillnets/set nets (anchored), (Bottom), Trawls (not specified), (Bottom), dip nets, (Bottom)",0,25,0,25,"Canada"
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom)",0,22,0,22,"Canada"
"Trawls (not specified), (Midwater), shrimp/prawn trawl, (Midwater)",0,21,0,21,"Canada"
"Otter trawls (not specified), (Benthic)",0,19,0,19,"Canada"
"Midwater trawls (not specified), (Bottom)",0,17,0,17,"Canada"
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",15,0,0,15,"Canada"
"shrimp/prawn trawl, (Bottom)",1,10,1,12,"Canada"
"Barriers, fences, weirs, etc., (Surface), Set gillnets/set nets (anchored), (Surface)",0,10,0,10,"Canada"
"Midwater trawls (not specified), (Midwater), Semipelagic trawls, (Demersal), Trawls (not specified), (Bottom)",0,8,0,8,"Canada"
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Midwater)",0,0,1,1,"Canada"
"Set gillnets/set nets (anchored), (Midwater)",0,1,0,1,"Canada"
"Gillnets and entangling nets (not specified), (Bottom), Seine nets (not specified), (Pelagic), Traps (not specified), (Bottom)",0,0,0,0,"Canada"
"Gillnets and entangling nets (not specified), (Midwater)",0,0,0,0,"Canada"
"Longlines (not specified), (Demersal)",3484,0,0,3484,"Chile"
"Gillnets and entangling nets (not specified), (Pelagic)",1350,0,0,1350,"Chile"
"Purse seines, (Surface)",688,55,55,798,"Chile"
"Gillnets and entangling nets (not specified), (Demersal)",715,0,0,715,"Chile"
"Longlines (not specified), (Pelagic)",641,0,0,641,"Chile"
"Purse seines, (Pelagic)",347,0,0,347,"Chile"
"Purse seines, (Surface)
",61,0,0,61,"Chile"
"Bottom trawls (not specified), (Bottom)",26,7,7,40,"Chile"
"Trawls (not specified), (Demersal)",13,0,0,13,"Chile"
"Midwater trawls (not specified), (Demersal)",12,0,0,12,"Chile"
"Longlines (not specified), (Bottom)",4,0,0,4,"Chile"
"Longlines (not specified), (Bottom)",1,1,4489,4491,"Ecuador"
"Gillnets and entangling nets (not specified), (Bottom)",0,1585,0,1585,"Ecuador"
"Gillnets and entangling nets (not specified), (Surface)",1500,0,0,1500,"Ecuador"
"Purse seines, (Midwater), Purse seines, (Surface)",282,0,0,282,"Ecuador"
"Longlines (not specified), (Midwater), Longlines (not specified), (Pelagic), Longlines (not specified), (Surface)",277,0,0,277,"Ecuador"
"Trawls (not specified), (Bottom)",40,0,0,40,"Ecuador"
"Trawls (not specified), (Midwater)",40,0,0,40,"Ecuador"
"Set gillnets/set nets (anchored), (Bottom)",38,0,0,38,"Ecuador"
"Set gillnets/set nets (anchored), (Surface)",1324,1324,0,2648,"Fiji"
"Set longlines, (Pelagic)",90,60,950,1100,"Fiji"
"Single and/or double rig trawl, (Bottom)",54,54,54,162,"Honduras"
"Longlines (not specified), (Pelagic)",1,1,1,3,"Iceland"
"Gillnets and entangling nets (not specified), (Demersal)",0,0,0,0,"Iceland"
"Longlines (not specified), (Bottom)",0,0,0,0,"Iceland"
"Midwater trawls (not specified), (Pelagic)",0,0,0,0,"Iceland"
"Nephrops trawl (bottom)",0,0,0,0,"Iceland"
"Purse seines, (Pelagic)",0,0,0,0,"Iceland"
"shrimp/prawn trawl, (Bottom)",0,0,0,0,"Iceland"
"Trawls (not specified), (Bottom)",0,0,0,0,"Iceland"
"Set gillnets/set nets (anchored), (Bottom)",3794,2144,2144,8082,"Norway"
"Longlines (not specified), (Bottom)",1322,1322,1322,3966,"Norway"
"Purse seines, (Pelagic)",370,0,100,470,"Norway"
"Trawls (not specified), (Midwater)",140,0,0,140,"Norway"
"Trawls (not specified), (Bottom)",45,45,45,135,"Norway"
"Beam trawls, (Demersal),",3555,3555,0,7110,"Thailand"
"Purse seines, (Demersal)",814,814,0,1628,"Thailand"
"Gillnets and entangling nets (not specified), (Demersal),",787,787,0,1574,"Thailand"
"Longlines (not specified), (Benthic)",46,46,0,92,"Thailand"
"Gillnets and entangling nets (not specified), (Pelagic)",0,0,0,0,"Thailand"
"Otter trawls (not specified), (Demersal),",0,0,0,0,"Thailand"
"single and/or pair trawl, (Demersal)",0,0,0,0,"Thailand"
"Gillnets and entangling nets (not specified), (Demersal)",30065,30065,0,60130,"Vietnam"
"Trawls (not specified), (Bottom)",22518,22518,14682,59718,"Vietnam"
"Handlines and hand足operated pole足 and足lines, (Midwater), Surrounding nets (not specified), (Pelagic), single and/or pair trawl, (Demersal)",24615,24615,0,49230,"Vietnam"
"Purse seines, (Pelagic)",13969,13969,2209,30147,"Vietnam"
"Gillnets and entangling nets (not specified), (Pelagic) ",13444,13444,0,26888,"Vietnam"
"Gillnets and entangling nets (not specified), (Pelagic)",10908,10908,0,21816,"Vietnam"
"Gillnets and entangling nets (not specified), (Bottom)",8875,8875,0,17750,"Vietnam"
"Fixed gillnets (on stakes), (Demersal)",285,285,285,855,"Vietnam"
