"GearType","Vessels","Licenses","Participants","VLPTotal"
"Gillnets and entangling nets (not specified), (Surface), Set gillnets/set nets (anchored), (Pelagic)",0,1947,204,2151
"Longlines (not specified), (Bottom)",2,471,1594,2067
"Gillnets and entangling nets (not specified), (Surface)",0,1700,200,1900
"Gillnets and entangling nets (not specified), (Bottom)",0,0,1728,1728
"Gillnets and entangling nets (not specified), (Pelagic)",405,1267,4,1676
"Longlines (not specified), (Pelagic)",0,1594,0,1594
"Set gillnets/set nets (anchored), (Pelagic)",0,984,40,1024
"Set gillnets/set nets (anchored), (Bottom)",0,612,310,922
"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",0,0,356,356
"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",0,319,0,319
"Beam trawls, (Bottom), Otter trawls (not specified), (Bottom)",0,237,0,237
"Trawls (not specified), (Bottom)",6,224,0,230
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",50,169,0,219
"Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",0,0,207,207
"Set gillnets/set nets (anchored), (Surface)",0,12,150,162
"Otter trawls (not specified), (Bottom)",27,78,27,132
"Midwater trawls (not specified), (Midwater)",19,75,1,95
"Longlines (not specified), (Bottom), Trolling lines, (Bottom)",0,78,0,78
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",53,0,0,53
"Barriers, fences, weirs, etc., (Pelagic), Beach seines, (Pelagic), Other (Please Specify) shutÂ­off / stop seine, (Pelagic), trap nets/stationary nets, (Pelagic)",0,30,0,30
"Set gillnets/set nets (anchored), (Bottom), Trawls (not specified), (Bottom), dip nets, (Bottom)",0,25,0,25
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom)",0,22,0,22
"Trawls (not specified), (Midwater), shrimp/prawn trawl, (Midwater)",0,21,0,21
"Otter trawls (not specified), (Benthic)",0,19,0,19
"Midwater trawls (not specified), (Bottom)",0,17,0,17
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",15,0,0,15
"shrimp/prawn trawl, (Bottom)",1,10,1,12
"Barriers, fences, weirs, etc., (Surface), Set gillnets/set nets (anchored), (Surface)",0,10,0,10
"Midwater trawls (not specified), (Midwater), Semipelagic trawls, (Demersal), Trawls (not specified), (Bottom)",0,8,0,8
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Midwater)",0,0,1,1
"Set gillnets/set nets (anchored), (Midwater)",0,1,0,1
"Gillnets and entangling nets (not specified), (Bottom), Seine nets (not specified), (Pelagic), Traps (not specified), (Bottom)",0,0,0,0
"Gillnets and entangling nets (not specified), (Midwater)",0,0,0,0
